Properly matched indexes: 322192725
Low quality indexes: 40457485
Hopped indexes: 596525
Total records processed: 363246736

Sample	Percent of total reads
A10	3.130096123
A11	4.651253632
A12	1.030134514
A1	2.13927373
A2	2.694449813
A3	4.238323837
A5	1.505061012
A7	0.982581437
A8	2.326450636
B10	3.023046021
B1	2.16798094
B2	1.955905256
B3	9.335484848
B4	2.361063473
B7	2.983812358
B8	1.225048035
B9	2.373920574
C10	11.31229187
C1	1.765154195
C2	1.846570206
C3	1.333013492
C4	20.34495473
C7	1.123548705
C9	2.848617751
Hopped	0.041055083
Low_qual	2.78443555
